@relation NoLatd5_sum

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data
2,0,1,1,1,0,0,1,0,3,0,0,0,0,3,0,0,4,1,3,4,0,0,1,0,6,N
0,2,10,0,1,1,13,10,0,1,5,3,1,8,5,0,1,3,0,3,4,4,0,7,11,2,N
0,0,9,0,0,0,5,9,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,39,N
1,1,16,0,6,0,6,1,0,1,5,3,4,6,4,0,0,2,0,3,9,0,0,5,18,4,N
0,0,8,1,1,0,6,2,0,3,1,0,2,1,3,0,1,2,0,1,1,1,0,0,1,0,N
0,0,9,0,0,0,4,4,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,1,0,22,N
1,2,2,2,3,0,0,1,1,6,0,3,1,0,0,0,2,8,2,6,2,0,0,4,1,0,N
0,1,2,2,3,1,4,4,1,9,13,8,10,3,0,1,8,9,6,17,9,3,0,5,1,2,N
3,4,37,0,3,12,55,3,0,0,0,3,0,16,11,0,0,0,0,0,0,0,0,0,0,0,N
1,2,26,0,2,9,51,5,0,0,0,1,0,20,11,0,0,0,0,0,0,0,0,1,0,5,N
4,3,38,0,4,9,53,7,0,0,0,2,0,16,9,0,0,0,0,0,0,0,0,0,0,6,N
2,1,39,0,4,10,57,7,0,0,0,1,0,15,10,0,0,0,0,0,0,0,0,0,0,0,N
2,6,65,0,7,24,100,11,0,0,0,2,0,21,10,0,0,0,0,0,0,0,0,0,2,0,N
2,3,39,0,2,8,59,7,0,0,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,3,N
4,2,46,0,1,10,48,4,0,0,0,1,0,13,12,0,0,0,0,0,0,0,0,1,0,3,N
2,1,42,0,1,6,49,5,0,0,0,1,1,20,10,0,0,0,0,0,0,0,0,0,0,4,N
2,4,43,0,2,12,53,4,0,0,0,2,0,10,12,0,0,0,0,0,0,0,0,0,0,1,N
2,2,33,0,3,8,54,4,0,0,0,1,0,19,10,0,0,0,0,0,0,0,0,0,0,0,N
4,4,29,0,1,10,52,5,0,0,1,1,0,17,6,0,0,0,0,0,0,0,0,0,0,0,N
3,3,40,0,1,9,52,6,0,0,0,1,0,11,9,0,0,0,0,0,0,0,0,1,0,0,N
3,8,58,0,5,25,99,7,0,0,1,1,0,20,11,0,0,0,0,0,0,0,0,0,1,0,N
3,3,19,0,4,10,54,4,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,N
0,0,38,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
2,7,42,0,2,6,55,4,0,0,0,2,1,15,11,0,0,0,0,0,0,0,0,0,0,4,N
2,7,41,0,2,10,54,6,0,0,0,1,0,15,12,0,0,0,0,0,0,0,0,0,0,2,N
