@relation Latd5_sum

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data
9,45,14,3,26,37,38,11,0,0,2,3,0,4,43,0,0,0,0,0,0,0,0,0,0,0,N
3,48,14,1,22,35,33,13,0,0,2,3,0,5,45,0,0,0,0,0,0,0,0,0,0,0,N
11,20,10,1,11,13,16,11,0,0,0,1,1,5,38,0,0,0,0,0,0,0,0,0,0,0,N
13,13,12,1,10,11,18,13,0,0,0,1,1,4,38,0,0,0,0,0,0,0,0,0,0,0,N
5,12,12,1,14,12,17,12,0,0,0,1,1,3,38,0,0,0,0,0,0,0,0,0,0,0,N
0,1,7,1,2,2,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,N
4,5,15,0,1,1,2,2,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,N
3,2,15,0,1,4,2,2,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,N
0,1,0,2,2,0,2,6,0,0,1,4,1,3,15,0,0,0,0,1,0,0,0,0,2,1,N
3,2,3,1,5,1,2,5,0,0,1,1,0,4,10,0,0,0,0,0,0,0,0,0,1,0,N
1,1,11,1,8,1,3,3,0,1,1,0,0,1,14,0,0,0,0,0,0,0,0,1,0,0,N
0,1,7,1,3,1,5,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,N
0,3,2,1,6,3,5,4,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,N
8,2,5,3,22,14,16,6,1,9,11,7,16,22,18,0,0,0,0,0,2,1,0,1,1,0,N
6,6,2,6,33,17,23,7,0,7,15,7,13,15,21,0,0,0,0,0,5,2,0,0,2,1,N
28,66,24,5,44,40,39,16,0,0,1,2,3,7,165,0,0,0,0,0,0,0,0,0,0,4,N
28,74,33,3,50,40,39,19,0,0,0,2,1,8,166,0,0,0,0,0,0,0,0,0,0,0,N
46,89,37,3,71,43,52,37,0,0,1,4,3,12,222,0,0,0,0,0,0,0,0,0,0,1,N
17,68,24,2,50,39,34,22,0,0,2,1,0,6,168,0,0,0,0,0,0,0,0,0,0,1,N
4,4,2,8,22,11,18,9,1,0,13,3,6,18,12,0,0,0,0,0,4,1,0,2,3,3,N
2,17,6,0,2,15,15,4,0,0,0,2,2,2,21,0,0,0,0,0,0,0,0,0,0,0,N
